feature_index,feature,importance
218,team1_stats.hits-for-extra-bases-pct.Rank,0.0
260,team1_stats.home-run-pct.Last 1,0.0
671,team1_stats.opponent-plate-appearances.Rank,0.0
1895,team2_stats.opponent-strikeouts-per-walk.2024,0.0
1013,team1_stats.strikeouts-per-walk.Home,0.0
1184,team2_stats.at-bats-per-home-run.Away,0.0
1752,team2_stats.opponent-no-run-first-inning-pct.Last 3,0.0
1622,team2_stats.opponent-extra-inning-runs-per-game.2024,0.0
1035,team1_stats.triples-per-game.Last 1,0.0
1048,team1_stats.vs-17-22-by-other.Hi,0.0
381,team1_stats.opponent-2nd-inning-runs-per-game.Home,0.0
1394,team2_stats.in-division-sos-by-other.Lo,0.0
1374,team2_stats.home-runs-per-9.2024,0.0
1165,team2_stats.8th-inning-runs-per-game.Last 1,0.0
420,team1_stats.opponent-8th-inning-runs-per-game.2023,0.0
1359,team2_stats.home-by-other.Last,0.0
