feature_index,feature,importance
1712,team2_stats.opponent-isolated-power.2023,121546492743.83597
742,team1_stats.opponent-stolen-base-pct.2023,121536858878.43997
637,team1_stats.opponent-no-run-first-inning-pct.2023,120886024007.66559
686,team1_stats.opponent-runners-left-in-scoring-position-per-game.2023,120102738380.57559
770,team1_stats.opponent-strikeouts-per-9.2023,116272500632.89691
595,team1_stats.opponent-home-runs-per-game.2023,115881025187.02954
263,team1_stats.home-runs-per-9.2023,113615164302.6628
504,team1_stats.opponent-extra-base-hit-pct.2023,113265310597.78232
581,team1_stats.opponent-home-run-pct.2023,112203767931.39548
1430,team2_stats.last-5-games-by-other.Hi,111207578915.61185
116,team1_stats.double-plays-per-game.2023,110130405136.3977
2037,team2_stats.schedule-strength-by-other.Lo,109993348665.87827
1305,team2_stats.games-played.Last 1,109426983842.81592
1455,team2_stats.no-run-first-inning-pct.Last 3,109125773088.25269
854,team1_stats.opponent-yes-run-first-inning-pct.2023,108736099173.48746
872,team1_stats.plate-appearances.Last 1,107943019216.09451
1495,team2_stats.opponent-3rd-inning-runs-per-game.2023,106854536343.63072
1098,team1_stats.win-pct-close-games.2023,106213472228.12747
963,team1_stats.sos-basic-by-other.Hi,106029791058.66638
930,team1_stats.season-sos-by-other.Hi,105127826594.66281
672,team1_stats.opponent-rbis-per-game.2023,104758571161.67455
728,team1_stats.opponent-singles-per-game.2023,104522614856.17035
186,team1_stats.future-sos-by-other.Hi,103815215942.53871
826,team1_stats.opponent-walks-per-game.2023,103012644404.19461
845,team1_stats.opponent-win-pct-all-games.Last 3,102991603127.98013
1112,team2_stats.1st-inning-runs-per-game.2023,102555245094.67851
1096,team1_stats.win-pct-all-games.Last 3,102425342663.33745
123,team1_stats.doubles-per-game.2023,101530404728.28702
844,team1_stats.opponent-win-pct-all-games.Last 1,101121141558.1576
750,team1_stats.opponent-stolen-bases-attempted.2024,101060852124.9632
1095,team1_stats.win-pct-all-games.Last 1,100738289442.16536
812,team1_stats.opponent-walk-pct.2023,100588682374.15494
270,team1_stats.home-runs-per-game.2023,100545179333.71231
1366,team2_stats.home-run-pct.2023,100030313418.90327
2220,team2_stats.yes-run-first-inning-pct.Last 3,99553732819.27759
553,team1_stats.opponent-hits-for-extra-bases-pct.2023,98299741456.66202
34,team1_stats.5th-inning-runs-per-game.Last 1,97603518576.22609
847,team1_stats.opponent-win-pct-close-games.2023,96667272756.20984
644,team1_stats.opponent-on-base-pct.2023,96110741389.85628
2055,team2_stats.shutouts.Home,95880516964.30273
1860,team2_stats.opponent-stolen-bases-attempted.2024,95156941635.27206
2168,team2_stats.vs-6-10-by-other.Hi,94979363026.83565
137,team1_stats.earned-runs-against-per-game.2023,94364250939.30923
1737,team2_stats.opponent-last-4-innings-runs-per-game.Last 1,94090021948.01642
1730,team2_stats.opponent-last-3-innings-runs-per-game.Last 1,93900441837.75693
69,team1_stats.at-bats-per-game.Last 1,93820210514.26779
877,team1_stats.predictive-by-other.Lo,93754194493.40822
1240,team2_stats.earned-run-average.2023,93103161212.89452
1516,team2_stats.opponent-6th-inning-runs-per-game.2023,91784575706.78677
1055,team1_stats.vs-23-30-by-other.Lo,91054269172.56805
651,team1_stats.opponent-on-base-plus-slugging-pct.2023,89164982898.06128
707,team1_stats.opponent-sacrifice-hits-per-game.2023,88935505715.987
317,team1_stats.last-4-innings-runs-per-game.Last 1,88777888720.98056
1282,team2_stats.first-5-innings-runs-per-game.2023,86991522750.62747
44,team1_stats.7th-inning-runs-per-game.2023,86314536039.50653
833,team1_stats.opponent-walks-plus-hits--per--innings-pitched.2023,85987864550.75797
1993,team2_stats.rbis-per-game.2023,85706110553.83769
2054,team2_stats.shutouts.Away,85464106147.60425
1579,team2_stats.opponent-double-plays-per-game.2023,85459377617.96033
1459,team2_stats.non-division-by-other.Lo,85183237463.77173
212,team1_stats.hits-for-extra-bases-pct.2023,84790253845.21136
176,team1_stats.first-5-innings-runs-per-game.Last 1,84764496489.16283
303,team1_stats.last-2-innings-runs-per-game.Last 1,84595237615.91739
613,team1_stats.opponent-last-2-innings-runs-per-game.Last 1,84172685934.54074
1050,team1_stats.vs-17-22-by-other.Lo,83785777757.30579
284,team1_stats.in-division-sos-by-other.Lo,83453845901.77661
1003,team1_stats.strikeouts-per-game.2023,83370139625.28574
908,team1_stats.runs-per-game.Last 1,82231734647.6831
1420,team2_stats.last-3-innings-runs-per-game.Last 1,81537821955.92058
1901,team2_stats.opponent-team-left-on-base-per-game.2023,81272765500.96179
1084,team1_stats.walks-plus-hits-per-inning-pitched.2023,81171987753.03363
2170,team2_stats.vs-6-10-by-other.Lo,79954014107.35687
1275,team2_stats.first-4-innings-runs-per-game.2023,79776142068.24237
1656,team2_stats.opponent-hit-by-pitch-per-game.2023,79730291014.91937
1286,team2_stats.first-5-innings-runs-per-game.Last 1,79546292251.30774
567,team1_stats.opponent-hits-per-game.2023,79338405454.69377
623,team1_stats.opponent-last-4-innings-runs-per-game.2023,78137627883.30508
989,team1_stats.strikeout-pct.2023,77899578196.32812
1894,team2_stats.opponent-strikeouts-per-walk.2023,77142387935.61407
191,team1_stats.games-played.2023,75975044907.61453
588,team1_stats.opponent-home-runs-per-9.2023,73818092383.80122
1040,team1_stats.vs-1-5-by-other.Lo,73153938491.6211
94,team1_stats.batting-average-on-balls-in-play.2023,72884053211.82741
791,team1_stats.opponent-team-left-on-base-per-game.2023,72282508314.48793
1752,team2_stats.opponent-no-run-first-inning-pct.Last 3,72042633261.67818
325,team1_stats.left-on-base-per-game.2023,71632967997.57985
1343,team2_stats.hits-per-run.2023,71297095132.9053
1832,team2_stats.opponent-shutouts.2024,70902213112.76997
2201,team2_stats.win-pct-all-games.2023,70840898917.94884
2120,team2_stats.strikeouts-per-walk.2023,70545542759.01294
1394,team2_stats.in-division-sos-by-other.Lo,70345233005.21872
1691,team2_stats.opponent-home-run-pct.2023,70211602863.10992
1670,team2_stats.opponent-hits-per-9.2023,69906338048.90372
1070,team1_stats.walks-per-9.2023,69612571772.17859
344,team1_stats.no-run-first-inning-pct.Last 1,69391675971.16522
982,team1_stats.stolen-bases-per-game.2023,68669167576.15893
2148,team2_stats.vs-1-5-by-other.Hi,68551604865.53835
1413,team2_stats.last-2-innings-runs-per-game.Last 1,68515310648.00855
1133,team2_stats.4th-inning-runs-per-game.2023,67768433959.6017
1747,team2_stats.opponent-no-run-first-inning-pct.2023,67447043520.311356
1315,team2_stats.hit-by-pitch-per-game.2023,66818116726.46322
1109,team1_stats.yes-run-first-inning-pct.Last 1,66621100521.69448
965,team1_stats.sos-basic-by-other.Lo,65707114897.602684
1705,team2_stats.opponent-home-runs-per-game.2023,65495300639.17264
62,team1_stats.9th-inning-runs-per-game.Last 1,65389034183.61272
1969,team2_stats.opponent-yes-run-first-inning-pct.Last 3,65356902801.13005
680,team1_stats.opponent-run-differential.2024,65325909723.48466
55,team1_stats.8th-inning-runs-per-game.Last 1,64975786798.32454
1289,team2_stats.first-6-innings-runs-per-game.2023,64022879866.70376
735,team1_stats.opponent-slugging-pct.2023,63976287176.04451
1432,team2_stats.last-5-games-by-other.Lo,63835162629.348404
602,team1_stats.opponent-isolated-power.2023,63464930681.340546
1796,team2_stats.opponent-runners-left-in-scoring-position-per-game.2023,63111990149.64929
462,team1_stats.opponent-caught-stealing-per-game.2023,62680636336.40185
