2025-05-26 15:33:13 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 15:33:13 INFO     root: Preprocessing MLB on 2025-05-18
2025-05-26 15:34:50 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 15:34:50 INFO     root: Postprocessing MLB on 2025-05-18
2025-05-26 15:34:50 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 15:34:50 INFO     root: Preprocessing MLB on 2025-05-17
2025-05-26 15:35:56 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/opponent-last-3-innings-runs-per-game?date=2025-05-17, sleeping 4 minutes before retry
2025-05-26 15:40:31 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 15:40:31 INFO     root: Postprocessing MLB on 2025-05-17
2025-05-26 15:40:31 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 15:40:31 INFO     root: Preprocessing NBA on 2025-05-16
2025-05-26 15:41:48 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 15:41:48 INFO     root: Postprocessing NBA on 2025-05-16
2025-05-26 15:41:49 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 15:41:49 INFO     root: Preprocessing MLB on 2025-05-16
2025-05-26 15:43:28 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 15:43:28 INFO     root: Postprocessing MLB on 2025-05-16
2025-05-26 15:43:29 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 15:43:29 INFO     root: Preprocessing NBA on 2025-05-15
2025-05-26 15:43:29 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/points-per-game?date=2025-05-15, sleeping 4 minutes before retry
2025-05-26 15:48:47 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 15:48:47 INFO     root: Postprocessing NBA on 2025-05-15
2025-05-26 15:48:47 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 15:48:47 INFO     root: Preprocessing MLB on 2025-05-15
2025-05-26 15:50:11 INFO     root: populate_pregame_data: inserted/updated 6 rows, skipped 0 games.
2025-05-26 15:50:11 INFO     root: Postprocessing MLB on 2025-05-15
2025-05-26 15:50:11 INFO     root: Updated final scores for 6 games. Skipped 0 games.
2025-05-26 15:50:11 INFO     root: Preprocessing NBA on 2025-05-14
2025-05-26 15:50:25 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/two-point-pct?date=2025-05-14, sleeping 4 minutes before retry
2025-05-26 15:55:31 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 15:55:31 INFO     root: Postprocessing NBA on 2025-05-14
