feature_index,feature,importance
2218,team2_stats.yes-run-first-inning-pct.2023,0.6899166266429934
1812,team2_stats.opponent-sacrifice-flys-per-game.2022,0.6893698874399341
920,team1_stats.sacrifice-hits-per-game.2022,0.6884204268914348
577,team1_stats.opponent-hits-per-run.2023,0.6878235775673811
1136,team2_stats.4th-inning-runs-per-game.2023,0.6864926435264812
1498,team2_stats.opponent-3rd-inning-runs-per-game.2023,0.6845060552099552
489,team1_stats.opponent-earned-run-average.Last 1,0.6835121534773406
1775,team2_stats.opponent-outs-pitched-per-game.Last 3,0.682644212227206
379,team1_stats.opponent-1st-inning-runs-per-game.Rank,0.6801546149119176
508,team1_stats.opponent-extra-base-hit-pct.Away,0.6794420526261816
1550,team2_stats.opponent-at-bats-per-game.Last 1,0.6782054776442697
295,team1_stats.isolated-power.Rank,0.6780359808439121
869,team1_stats.outs-pitched-per-game.Rank,0.6748421809268118
1116,team2_stats.1st-inning-runs-per-game.Away,0.6717106552578859
77,team1_stats.at-bats-per-home-run.Home,0.6697403827985056
2078,team2_stats.sos-basic-by-other.Rank,0.6694118295403841
48,team1_stats.7th-inning-runs-per-game.Away,0.6654445417169261
400,team1_stats.opponent-4th-inning-runs-per-game.Rank,0.6648999953991311
1694,team2_stats.opponent-home-run-pct.2023,0.6647189420207578
1018,team1_stats.strikeouts-per-walk.Rank,0.6624492887516703
2083,team2_stats.stolen-base-pct.Home,0.6580585687510421
2194,team2_stats.walks-per-game.Last 3,0.6570168025143107
81,team1_stats.away-by-other.Hi,0.6568282657996237
560,team1_stats.opponent-hits-for-extra-bases-pct.Last 3,0.6522964572348894
747,team1_stats.opponent-stolen-base-pct.Home,0.6515706784462042
72,team1_stats.at-bats-per-game.Last 3,0.6514479658849336
1794,team2_stats.opponent-run-differential.Home,0.6497476470728734
2005,team2_stats.run-differential.Home,0.6497476470728734
201,team1_stats.grounded-into-double-plays-per-game.2023,0.6495000778476382
52,team1_stats.7th-inning-runs-per-game.Rank,0.6494125200220368
126,team1_stats.doubles-per-game.2023,0.6471018201833376
1574,team2_stats.opponent-caught-stealing-per-game.2022,0.6444147042144097
1881,team2_stats.opponent-strikeout-pct.Rank,0.6429068852787635
515,team1_stats.opponent-extra-inning-runs-per-game.Away,0.642286404855277
