feature_index,feature,importance
379,team1_stats.opponent-1st-inning-runs-per-game.Rank,0.7296696168919228
2224,weather.apparent_temperature,0.7275268840406505
900,team1_stats.runners-left-in-scoring-position-per-game.2023,0.7273211395245557
1453,team2_stats.no-run-first-inning-pct.2023,0.7268051361264055
2218,team2_stats.yes-run-first-inning-pct.2023,0.7265420701263622
1664,team2_stats.opponent-hit-by-pitch-per-game.Rank,0.7217612985977143
806,team1_stats.opponent-total-bases-per-game.Rank,0.7214181069370413
1408,team2_stats.last-10-games-by-other.Lo,0.7210200311796529
207,team1_stats.hit-by-pitch-per-game.2022,0.7194692165152885
1444,team2_stats.luck-by-other.Hi,0.7175174597707552
1800,team2_stats.opponent-runners-left-in-scoring-position-per-game.Away,0.7174596718200213
1007,team1_stats.strikeouts-per-game.Away,0.7149674155892193
145,team1_stats.earned-runs-against-per-game.Rank,0.7123774058976396
42,team1_stats.6th-inning-runs-per-game.Home,0.7118653515746428
2143,team2_stats.triples-per-game.2022,0.7080669623624961
933,team1_stats.season-sos-by-other.Last,0.7018546643138059
984,team1_stats.stolen-bases-per-game.2022,0.7014600318805589
1676,team2_stats.opponent-hits-per-9.Last 1,0.7013894065478731
138,team1_stats.earned-run-average.Rank,0.6978903613362637
387,team1_stats.opponent-3rd-inning-runs-per-game.2022,0.6975911135634569
415,team1_stats.opponent-7th-inning-runs-per-game.2022,0.6951584190280795
80,team1_stats.at-bats-per-home-run.Rank,0.6948886137736168
2181,team2_stats.walk-pct.Rank,0.6940281263620807
1818,team2_stats.opponent-sacrifice-flys-per-game.Rank,0.6932112987397504
595,team1_stats.opponent-home-runs-per-9.Last 3,0.6894764501841764
929,team1_stats.schedule-strength-by-other.Lo,0.6868381331403615
1356,team2_stats.home-adv-by-other.Rating,0.686072637718659
2000,team2_stats.rbis-per-game.Last 3,0.6853973749775335
464,team1_stats.opponent-caught-stealing-per-game.2022,0.6842504727641184
81,team1_stats.away-by-other.Hi,0.6826278545152298
1318,team2_stats.hit-by-pitch-per-game.2023,0.6810971837302257
554,team1_stats.opponent-hit-by-pitch-per-game.Rank,0.6802031945608366
2121,team2_stats.strikeouts-per-game.Rank,0.678743810728603
1461,team2_stats.non-division-by-other.Lo,0.6787387623929907
136,team1_stats.earned-run-average.Last 1,0.6774489219296416
1240,team2_stats.doubles-per-game.Last 3,0.6772317951495676
1711,team2_stats.opponent-home-runs-per-game.Last 1,0.6770088665132421
1108,team1_stats.yes-run-first-inning-pct.2023,0.6762472941606394
343,team1_stats.no-run-first-inning-pct.2023,0.6757275222174272
1845,team2_stats.opponent-singles-per-game.Last 3,0.6754742732036417
41,team1_stats.6th-inning-runs-per-game.Away,0.6750481101843732
1856,team2_stats.opponent-stolen-base-pct.Away,0.6739496899111994
936,team1_stats.season-sos-by-other.Rating,0.673466083892965
1660,team2_stats.opponent-hit-by-pitch-per-game.Away,0.6717277229670814
1374,team2_stats.home-run-pct.Rank,0.6697076437875583
1009,team1_stats.strikeouts-per-game.Last 1,0.668873314116094
709,team1_stats.opponent-sacrifice-hits-per-game.2022,0.6688074352541216
673,team1_stats.opponent-plate-appearances.Rank,0.6674779075115763
353,team1_stats.non-division-by-other.Rating,0.6638131719997937
428,team1_stats.opponent-8th-inning-runs-per-game.Rank,0.661315232898154
84,team1_stats.away-by-other.Rank,0.6610033029172039
678,team1_stats.opponent-rbis-per-game.Last 1,0.6600375358195334
1354,team2_stats.home-adv-by-other.Lo,0.6600079231865666
708,team1_stats.opponent-sacrifice-flys-per-game.Rank,0.6557571133973905
112,team1_stats.consistency-by-other.Lo,0.6554800521288706
1463,team2_stats.non-division-by-other.Rating,0.6548535306431007
25,team1_stats.4th-inning-runs-per-game.2022,0.6546279307369818
722,team1_stats.opponent-secondary-average.Rank,0.6523879996323511
1071,team1_stats.walk-pct.Rank,0.6521741546906105
381,team1_stats.opponent-2nd-inning-runs-per-game.2023,0.6491021333295616
1210,team2_stats.batting-average-on-balls-in-play.Last 1,0.6463756642780626
410,team1_stats.opponent-6th-inning-runs-per-game.Away,0.6451808664911447
817,team1_stats.opponent-walk-pct.Home,0.6444694591615969
785,team1_stats.opponent-strikeouts-per-game.Rank,0.6408172888323213
618,team1_stats.opponent-last-3-innings-runs-per-game.2022,0.6391518009474356
1251,team2_stats.earned-runs-against-per-game.Away,0.6373164887814391
1377,team2_stats.home-runs-per-9.Away,0.6366453040619281
971,team1_stats.stolen-base-pct.2023,0.6358036297890314
2160,team2_stats.vs-17-22-by-other.Hi,0.6313728315749703
1143,team2_stats.5th-inning-runs-per-game.2023,0.6295453169346072
705,team1_stats.opponent-sacrifice-flys-per-game.Home,0.6295411607916637
922,team1_stats.sacrifice-hits-per-game.Away,0.6279110608214357
761,team1_stats.opponent-stolen-bases-per-game.Home,0.6235389589975975
1092,team1_stats.walks-plus-hits-per-inning-pitched.Rank,0.6223137050099755
1069,team1_stats.walk-pct.Last 1,0.621173426479425
875,team1_stats.plate-appearances.Last 3,0.6207283925543443
216,team1_stats.hits-for-extra-bases-pct.Away,0.6203746728140376
1503,team2_stats.opponent-3rd-inning-runs-per-game.Rank,0.6203034537254583
1860,team2_stats.opponent-stolen-base-pct.Rank,0.6141790927373104
1379,team2_stats.home-runs-per-9.Last 1,0.6138508215537305
2026,team2_stats.sacrifice-flys-per-game.Home,0.6126326610572235
743,team1_stats.opponent-slugging-pct.Rank,0.612323968932208
969,team1_stats.sos-basic-by-other.Rating,0.6107915152693958
1920,team2_stats.opponent-triples-per-game.Home,0.6098310485314676
611,team1_stats.opponent-last-2-innings-runs-per-game.2022,0.6072586837467341
799,team1_stats.opponent-team-left-on-base-per-game.Rank,0.6061703777931063
1269,team2_stats.extra-base-hit-pct.Rank,0.6046873145400837
1352,team2_stats.home-adv-by-other.Hi,0.6012484005148893
1601,team2_stats.opponent-earned-run-average.Rank,0.5994667817239451
1862,team2_stats.opponent-stolen-bases-attempted.2023,0.5938690382746215
129,team1_stats.doubles-per-game.Last 1,0.5932867368949684
498,team1_stats.opponent-earned-runs-against-per-game.Rank,0.593164035252829
94,team1_stats.batting-average.Last 3,0.592852364473661
665,team1_stats.opponent-outs-pitched-per-game.Last 3,0.5915320598796628
110,team1_stats.consistency-by-other.Hi,0.5890453418760009
533,team1_stats.opponent-first-5-innings-runs-per-game.Rank,0.5877355197098139
2165,team2_stats.vs-23-30-by-other.Hi,0.5874891660679381
286,team1_stats.in-division-sos-by-other.Lo,0.5862694115982906
1448,team2_stats.luck-by-other.Rating,0.5852730414360989
2082,team2_stats.stolen-base-pct.Away,0.5848894890376971
